"","movie","distributor","gross","percent_change","theaters","per_theater","total_gross","days","date"
"76","Absolutely Fabulous: The Movie","Fox Searchlight",5140,-14,38,135,4678295,42,2016-09-01
"77","Accident","Rialto Pictures",1868,12,1,1868,7666,4,2014-05-26
"78","Acrimony","Lionsgate",5873,8,80,73,43549096,70,2018-06-07
"79","Act of Valor","Relativity",681,134,19,36,70012847,105,2012-06-07
"80","Action Point","Paramount Pictures",79168,-42,2032,39,5059608,14,2018-06-14
"81","Addicted","Lionsgate",1861,-18,43,43,17390770,56,2014-12-04
"82","Admission","Focus Features",721,-21,12,60,18007317,77,2013-06-06
"83","Adrift","STX Entertainment",8253,67,75,110,31445011,63,2018-08-02
"84","Adult Beginners","RADiUS-TWC",145,NA,5,29,104808,42,2015-06-04
"85","Ae Dil Hai Mushkil","FIP",5137,11,53,97,4264983,28,2016-11-24
"86","Afflicted","CBS Films",4833,-31,34,142,121179,10,2014-04-13
"87","After Earth","Sony Pictures",18778,-22,77,244,60522097,80,2013-08-18
"88","After the Ball","Freestyle Releasing",385,-13,11,35,161820,63,2015-04-30
"89","Aftermath","Freestyle Releasing",167,-47,1,167,1124,3,2014-11-30
"90","Alan Partridge","Magnolia Pictures",139,NA,2,70,153285,53,2014-05-26
"91","Albert Nobbs","Roadside Attractions",20,-77,2,10,3014696,149,2012-05-17
"92","Alex Cross","Lionsgate",4586,-2,77,60,25888412,77,2013-01-03
"93","Alexander and the Terrible,…","Walt Disney",12049,-13,376,32,64190062,56,2014-12-04
"94","Alice Through the Looking G…","Walt Disney",1000,2,9,111,77042381,99,2016-09-02
"95","Alien: Covenant","20th Century Fox",1813,4,38,48,74249538,98,2017-08-24
"96","All Eyez on Me","Lionsgate",6807,-12,94,72,44922302,49,2017-08-03
"97","All I See is You","Open Road",426,-19,53,8,217644,14,2017-11-09
"98","All is Bright","Anchor Bay Entertai…",1541,-7,10,154,4556,3,2013-10-06
"99","All is Lost","Roadside Attractions",100,-67,5,20,6263670,133,2014-02-27
"100","All Saints","Sony Pictures",3620,-26,55,66,5794030,59,2017-10-22
"101","All the Money in the World","Sony Pictures",3769,-10,27,140,25106325,84,2018-03-18
"102","All These Sleepless Nights","The Orchard",43,-48,2,22,20762,42,2017-05-18
"103","All Things Must Pass","Gravitas Ventures",7000,NA,2,3500,7000,1,2015-10-16
"104","Allied","Paramount Pictures",7588,12,120,63,40098064,65,2017-01-26
"105","Allure","",310,6,1,310,1918,3,2015-03-08
"106","Almost Christmas","Universal",8330,-23,169,49,42065185,56,2017-01-05
"107","Almost Holy","The Orchard",790,-31,10,79,11738,17,2016-06-05
"108","Aloha","Sony Pictures",12231,-31,89,137,20527175,52,2015-07-19
"109","Alpha","Sony Pictures",445738,-12,2719,164,22922220,14,2018-08-30
"110","Alphaville","Rialto Pictures",875,50,1,875,43354,93,2014-05-10
"111","Alvin and the Chipmunks: Ch…","20th Century Fox",2048,190,14,146,133107389,174,2012-06-06
"112","Alvin and the Chipmunks: Th…","20th Century Fox",2315,22,59,39,85833731,126,2016-04-21
"113","America: Imagine a World Wi…","Lionsgate",1262,12,23,55,14444502,70,2014-09-04
"114","American Animals","The Orchard",1474,-28,5,295,2853526,87,2018-08-26
"115","American Assassin","Lionsgate",8965,11,159,56,36249674,56,2017-11-09
"116","American Honey","A24",251,-31,3,84,662786,66,2016-12-04
"117","American Hustle","Sony Pictures",12435,-49,119,104,150117807,115,2014-04-06
"118","American Made","Universal",3675,-6,73,50,51342000,77,2017-12-14
"119","American Pastoral","Lionsgate",588,-13,14,42,544098,42,2016-12-01
"120","American Reunion","Universal",12375,25,165,75,56758835,56,2012-05-31
"121","American Sniper","Warner Bros.",789,12,22,36,350126372,183,2015-06-25
"122","American Ultra","Lionsgate",1604,6,49,33,14439985,49,2015-10-08
"123","AmeriGeddon","",37902,-20,30,1263,131000,3,2016-05-15
"124","Amityville: The Awakening","Weinstein Co.",742,NA,10,74,742,1,2017-10-28
"125","Amy","A24",1e+05,NA,5,20000,1e+05,1,2015-07-03
"126","An Inconvenient Sequel","Paramount Vantage",8086,-5,80,101,3496795,42,2017-09-07
"127","Anchorman 2: The Legend Con…","Paramount Pictures",1816,-26,50,36,127352707,93,2014-03-20
"128","And So It Goes","Clarius Entertainment",1606,-12,20,80,15160801,69,2014-10-01
"129","Anna Karenina","Focus Features",3906,11,28,140,12816367,105,2013-02-28
"130","Annabelle","Warner Bros.",2601,20,101,26,84273813,77,2014-12-18
"131","Annabelle: Creation","Warner Bros.",2411,6,126,19,102092201,84,2017-11-02
"132","Annie","Sony Pictures",22252,23,227,98,85412865,63,2015-02-19
"133","Annihilation","Paramount Pictures",11253,-6,119,95,32732301,56,2018-04-19
"134","Anomalisa","Paramount Pictures",58813,-27,573,103,3759286,86,2016-03-24
"135","Ant-Man","Walt Disney",24737,-17,477,52,178353078,77,2015-10-01
"136","Ant-Man and the Wasp","Walt Disney",137264,-10,1178,117,212160458,56,2018-08-30
"137","Anthropoid","Bleecker Street",1001,-7,9,111,2963630,42,2016-09-22
"138","April and the Extraordinary…","GKIDS",414,27,8,52,295488,77,2016-06-09
"139","Arbitrage","Roadside Attractions",398,67,4,100,7919574,126,2013-01-17
"140","Argo","Warner Bros.",1375,-14,43,32,136025503,196,2013-04-25
"141","Arjun The Warrior Prince","UTV Communications",470,-41,10,47,10017,376,2012-06-03
"142","Army of Shadows","Rialto Pictures",606,16,1,606,721252,3426,2015-09-13
"143","Arrival","Paramount Pictures",11193,8,79,142,100546139,119,2017-03-09
"144","Arthur Christmas","Sony Pictures",4512,-29,280,16,46462469,51,2012-01-12
"145","As Above, So Below","Universal",5885,-12,166,35,21222315,42,2014-10-09
"146","As It Is in Heaven","Cinema Purgatorio",1979,154,11,180,13486,28,2014-08-07
"147","Assassin’s Creed","20th Century Fox",2422,-6,57,42,54634144,72,2017-03-02
"148","Assaulted: Civil Rights Und…","High Top Releasing",32,-58,1,32,7054,18,2013-07-07
"149","At Middleton","Anchor Bay Entertai…",304,62,1,304,53837,21,2014-02-20
"150","Atlas Shrugged: Part II","Atlas Distribution",580,19,35,17,3336053,49,2012-11-29
"151","Atlas Shrugged: Who Is John…","Atlas Distribution",2674,16,13,206,851690,23,2014-10-04
"152","Atomic Blonde","Focus Features",8520,-14,153,56,51573925,63,2017-09-28
"153","Attack on Titan: Part 1","FUNimation",258794,NA,264,980,258794,1,2015-09-30
"154","Attack on Titan: Part 2","FUNimation",98233,687,230,427,243356,3,2015-10-22
"155","August: Osage County","Weinstein Co.",77,-29,3,26,37738810,135,2014-05-08
"156","Auto Shop of Horrors","Driving With Our Ey…",205,NA,1,205,4300,76,2016-12-07
"157","Avengers: Infinity War","Walt Disney",5936,15,108,55,678707164,126,2018-08-30
"158","Axe Giant: The Wrath of Pau…","Cinema Purgatorio",92,-90,1,92,2498,10,2013-06-09
"159","Baaghi","UTV Communications",212,-49,8,27,438207,28,2016-05-26
"160","Baaghi 2","FIP",2797,-42,48,58,1319579,21,2018-04-19
"161","Baahubali 2: The Conclusion","Great India Films",547924,-19,368,1489,18985794,17,2017-05-14
"162","Baahubali: The Beginning","Bluesky Cinemas",118000,-28,236,500,4278000,7,2015-07-16
"163","Baby Driver","Sony Pictures",5795,-31,48,121,107816745,110,2017-10-15
"164","Back to the Future","Universal",1650000,NA,1815,909,212259762,11068,2015-10-21
"165","Bad Moms","STX Entertainment",10681,14,114,94,113257297,91,2016-10-27
"166","Bad Samaritan","Electric Entertainment",5984,-6,48,125,3424744,17,2018-05-20
"167","Bad Santa 2","Broad Green Pictures",1826,15,62,29,17774066,50,2017-01-11
"168","Bad Words","Focus Features",451,28,21,21,7779614,77,2014-05-29
"169","Badrinath Ki Dulhania","FIP",8183,-12,93,88,1934699,21,2017-03-30
"170","Badsville","Epic Pictures Group",56,33,1,56,4153,14,2017-12-14
"171","Baggage Claim","Fox Searchlight",4420,NA,30,147,21569509,84,2013-12-19
"172","Bajirao Mastani","Eros Entertainment",460000,NA,304,1513,460000,1,2015-12-18
"173","Bajrangi Bhaijaan","Eros Entertainment",56000,-24,257,218,7225394,21,2015-08-06
"174","Bang Bang","FIP",175745,NA,108,1627,2581138,22,2014-10-23
"175","Barbershop: The Next Cut","Warner Bros.",4133,10,55,75,54030051,91,2016-07-14
"176","Barefoot","Roadside Attractions",786,-18,18,44,15071,7,2014-02-27
"177","Barfi","UTV Communications",70,-56,1,70,2804874,45,2012-10-28
"178","Batkid Begins: The Wish Hea…","Warner Bros.",418,42,14,30,74709,42,2015-08-06
"179","Batman v Superman: Dawn of …","Warner Bros.",29165,NA,215,136,330360194,84,2016-06-16
"180","Batman: The Killing Joke","Fathom Events",6e+05,-81,1325,453,3775000,2,2016-07-26
"181","Battle of the Sexes","Fox Searchlight",2567,11,27,95,12598957,70,2017-11-30
"182","Battle of the Year 3D","Sony Pictures",11880,-43,86,138,8888355,31,2013-10-20
"183","Battleship","Universal",16090,15,140,115,65233400,77,2012-08-02
"184","Baywatch","Paramount Pictures",12875,12,125,103,58060186,64,2017-07-27
"185","Beach Rats","Neon",610,-20,8,76,471286,56,2017-10-19
"186","Bears","Walt Disney",49903,NA,214,233,17283631,39,2014-05-26
"187","Beast","Roadside Attractions",1442,8,14,103,800365,56,2018-07-05
"188","Beasts of No Nation","Bleecker Street",5625,28,31,181,70289,7,2015-10-22
"189","Beasts of the Southern Wild","Fox Searchlight",3002,-1,21,143,12795746,268,2013-03-21
"190","Beatriz at Dinner","Roadside Attractions",169,22,3,56,7115854,118,2017-10-04
"191","Beautiful Creatures","Warner Bros.",1718,14,55,31,19452138,57,2013-04-11
"192","Beautifully Broken","ArtAffects",48960,-8,651,75,847639,7,2018-08-30
"193","Beauty and the Beast","Walt Disney",10688,24,110,97,504014165,119,2017-07-13
"194","Beauty and the Beast 3D","Walt Disney",295694,2,2145,138,213669094,7387,2012-02-02
"195","Because of Grácia","ArtAffects",150,-64,9,17,90388,20,2017-10-04
"196","Before I Fall","Open Road",2594,5,70,37,12241072,56,2017-04-27
"197","Before I Go to Sleep","Clarius Entertainment",4659,-22,49,95,3242457,21,2014-11-20
"198","Before We Go","Radius",26,86,2,13,37151,28,2015-10-01
"199","Before We Vanish","Super LTD",2736,-30,5,547,26699,10,2018-02-11
