"","movie","distributor","gross","percent_change","theaters","per_theater","total_gross","days","date"
"337","Criminal","Lionsgate",5199,-4,142,37,14708696,42,2016-05-26
"338","Crimson Peak","Universal",4775,-26,184,26,31090320,42,2015-11-26
"339","Crooked Arrows","Branded Entertainment",612,68,9,68,1832541,63,2012-07-19
"340","Daddy’s Home","Paramount Pictures",11177,7,159,70,150357137,105,2016-04-07
"341","Daddy’s Home 2","Paramount Pictures",6857,-44,112,61,104029443,98,2018-02-15
"342","Dallas Buyers Club","Focus Features",290,-31,12,24,27298285,182,2014-05-01
"343","Dangal","UTV Communications",2030,-6,16,127,12391761,51,2017-02-09
"344","Danny Collins","Bleecker Street",2527,NA,44,57,5637066,77,2015-06-04
"345","Dark Shadows","Warner Bros.",4237,15,45,94,79727149,98,2012-08-16
"346","Dark Skies","Weinstein Co.",1593,-9,32,50,17418667,91,2013-05-23
"347","Darkest Hour","Focus Features",12920,13,133,97,56361300,121,2018-03-22
"348","Dawn of the Planet of the Apes","20th Century Fox",2384,19,63,38,208490841,126,2014-11-13
"349","De Palma","A24",8212,-25,3,2737,30355,3,2016-06-12
"350","Dead Man Down","FilmDistrict",4050,28,94,43,10895295,42,2013-04-18
"351","Dead Man's Burden","Cinedigm",1734,NA,1,1734,10528,14,2013-05-16
"352","Deadpool","20th Century Fox",3992,NA,69,58,363042311,119,2016-06-09
"353","Deadpool 2","20th Century Fox",3598,-14,79,46,318415522,105,2018-08-30
"354","Dean","CBS Films",1270,19,28,45,254536,28,2017-06-29
"355","Dear Life","Reliance Big Pictures",6904,-31,112,62,2376479,23,2016-12-15
"356","Dear White People","Lionsgate/Roadside …",50210,-42,105,478,3896989,31,2014-11-16
"357","Death House","Hannover House",416,7,7,59,23833,77,2018-05-17
"358","Death of a Nation","Quality Flix",12300,-5,180,68,5662849,28,2018-08-30
"359","Death Wish","MGM",955,-25,16,60,34017028,91,2018-05-31
"360","Decoding Annie Parker","Entertainment One",85,-94,2,43,39816,9,2014-05-10
"361","Deepwater Horizon","Lionsgate",8225,5,144,57,61433527,77,2016-12-15
"362","Deliver Us from Evil","Sony Pictures",5275,-37,44,120,30401551,40,2014-08-10
"363","Delivery Man","Walt Disney",10120,NA,79,128,30079250,60,2014-01-20
"364","Demi-Soeur","Rialto Pictures",58,16,1,58,943,7,2014-02-13
"365","Demolition","Fox Searchlight",33511,-9,862,39,1978592,14,2016-04-21
"366","Demon","The Orchard",248,-27,9,28,104039,56,2016-11-03
"367","Den of Thieves","STX Entertainment",3436,-1,60,57,44947622,63,2018-03-22
"368","Denial","Bleecker Street",1222,-46,48,25,4073448,81,2016-12-19
"369","Desert Dancer","Relativity",517,-27,7,74,155271,49,2015-05-28
"370","Desierto","STX Entertainment",9034,-2,54,167,2002036,35,2016-11-17
"371","Despicable Me 2","Universal",4120,1,137,30,368065385,199,2014-01-16
"372","Despicable Me 3","Universal",7930,-7,109,73,264624300,175,2017-12-21
"373","Detective Chinatown 2","Warner Bros.",80,-89,2,40,1983984,49,2018-04-05
"374","Detention of the Dead","Anchor Bay Entertai…",172,9,2,86,1778,7,2013-07-04
"375","Detroit","Annapurna Pictures",643,112,11,58,16790139,77,2017-10-12
"376","Devil's Due","20th Century Fox",2952,8,48,62,15785335,49,2014-03-06
"377","Diana","Entertainment One",531,54,26,20,335360,28,2013-11-28
"378","Diary of a Wimpy Kid: Dog Days","20th Century Fox",2078,19,41,51,49008662,140,2012-12-20
"379","Diary of a Wimpy Kid: The L…","20th Century Fox",1659,10,18,92,20734068,84,2017-08-10
"380","Dilwale","UTV Communications",1000,10,42,24,4871263,35,2016-01-21
"381","Dina","The Orchard",77,285,3,26,90491,48,2017-11-22
"382","Dinosaur 13","Lionsgate",2500,NA,14,179,2500,1,2014-08-15
"383","Dirty Grandpa","Lionsgate",11164,10,156,72,35593113,56,2016-03-17
"384","Disney Planes","Walt Disney",22626,41,376,60,88210381,63,2013-10-10
"385","Disobedience","Bleecker Street",1825,67,21,87,3480702,77,2018-07-12
"386","Divergent","Lionsgate",30256,7,184,164,150947895,112,2014-07-10
"387","Django Unchained","Weinstein Co.",259,20,5,52,162805434,143,2013-05-16
"388","Do You Believe?","Pure Flix Entertain…",134,31,2,67,12985600,98,2015-06-25
"389","Doctor Strange","Walt Disney",3193,17,47,68,232641920,133,2017-03-16
"390","Dog Days","LD Entertainment",7976,-21,280,28,6644932,23,2018-08-30
"391","Dolphin Tale","Warner Bros.",1801,35,63,29,72286779,126,2012-01-26
"392","Dolphin Tale 2","Warner Bros.",2806,208,66,43,42024533,98,2014-12-18
"393","Dom Hemingway","Fox Searchlight",3210,-2,47,68,509530,37,2014-05-08
"394","Don 2","Reliance Big Pictures",366,-59,12,31,3674480,36,2012-01-26
"395","Don Jon","Relativity",228,-53,21,11,24477704,105,2014-01-09
"396","Don’t Breathe","Sony Pictures",1890,9,30,63,89217875,119,2016-12-22
"397","Don’t Think Twice","Film Arcade",27276,-23,1,27276,92835,3,2016-07-24
"398","Don’t Worry, He Won’t G…","Amazon Studios",1812,85,19,95,1426834,49,2018-08-30
"399","Donald Cried","The Orchard",37,NA,1,37,61406,77,2017-05-18
"400","Dope","Open Road",6590,-17,107,62,17506470,91,2015-09-17
"401","Down the Shore","Anchor Bay Entertai…",406,-24,2,203,6558,7,2013-04-11
"402","Downsizing","Paramount Pictures",7493,NA,113,66,24449754,42,2018-02-01
"403","Dr. Seuss' The Lorax","Universal",22545,17,167,135,214030500,147,2012-07-26
"404","Dracula Untold","Universal",8670,-6,102,85,55991880,49,2014-11-27
"405","Draft Day","Lionsgate",3276,17,53,62,28842237,70,2014-06-19
"406","Dragon Ball Z: Resurrection…","FUNimation",49600,-11,114,435,8008363,14,2015-08-17
"407","Dredd","Lionsgate",3553,31,72,49,13414714,42,2012-11-01
"408","Drive","FilmDistrict",1557,NA,22,71,35060689,147,2012-02-09
"409","Duck Butter","The Orchard",516,NA,1,516,6877,20,2018-05-16
"410","Dumb and Dumber To","Universal",3750,17,106,35,86208010,91,2015-02-12
"411","Dunkirk","Warner Bros.",1695119,NA,1,1695119,190068280,265,2018-04-11
"412","Early Man","Lionsgate",8709,16,126,69,8267544,42,2018-03-29
"413","Earth to Echo","Relativity",401,11,39,10,38934842,121,2014-10-30
"414","Earth: One Amazing Day","Atlas Distribution",87,45,2,44,81345,14,2017-10-19
"415","Eating Animals","Sundance Selects",877,-29,7,125,130608,42,2018-07-26
"416","Eddie the Eagle","20th Century Fox",2844,34,59,48,15739131,70,2016-05-05
"417","Edge of Tomorrow","Warner Bros.",4258,4,101,42,100206256,98,2014-09-11
"418","Eighth Grade","A24",46930,-7,366,128,12663293,49,2018-08-30
"419","Ek Main Aur Ekk Tu","UTV Communications",50,-68,4,13,1154174,35,2012-03-15
"420","El Clan","20th Century Fox",4777,-13,17,281,90767,14,2016-03-31
"421","El Mar La Mar","Cinema Guild",179,NA,1,179,9065,141,2018-07-13
"422","Elevator to the Gallows","Rialto Pictures",345,-30,1,345,368221,20218,2016-10-16
"423","Elvis & Nixon","Bleecker Street & A…",5025,-15,62,81,1055284,21,2016-05-12
"424","Elysium","Sony Pictures",15642,-30,114,137,93050117,108,2013-11-24
"425","Emperor","Roadside Attractions",269,25,5,54,3346264,98,2013-06-13
"426","End of Watch","Open Road",5342,7,111,48,41003371,119,2013-01-17
"427","Ender's Game","Lionsgate",20279,6,242,84,61737191,70,2014-01-09
"428","Endless Love","Universal",9730,-13,278,35,23438250,35,2014-03-20
"429","Enough Said","Fox Searchlight",6394,3,23,278,17517110,114,2014-01-09
"430","Entourage","Warner Bros.",461,13,21,22,32363404,72,2015-08-13
"431","Epic","20th Century Fox",883,6,31,28,107518682,119,2013-09-19
"432","Ernest & Celestine","GKIDS",750,15,20,38,292562,63,2014-05-01
"433","Escape Fire: The Fight to R…","Roadside Attractions",272,127,1,272,99028,175,2013-03-28
"434","Escape From Planet Earth","Weinstein Co.",299,-24,7,43,57012977,161,2013-07-25
"435","Escape Plan","Lionsgate",3737,4,77,49,25135965,91,2014-01-16
"436","Escobar: Paradise Lost","RADiUS-TWC",5535,44,44,126,195792,14,2015-07-09
"437","Eva","Weinstein Co.",1498,-4,50,30,15084,6,2015-03-18
"438","Everest","Universal",13335,-31,134,100,43309450,70,2015-11-26
"439","Everly","RADiUS-TWC",1800,NA,17,106,1800,1,2015-02-27
"440","Every Day","Orion Pictures",2863,1,110,26,6112914,28,2018-03-22
"441","Everybody Loves Somebody","Lionsgate",2758,18,35,79,1915789,35,2017-03-23
"442","Everybody Wants Some","Paramount Pictures",7912,10,72,110,3400278,51,2016-05-19
"443","Everything, Everything","Warner Bros.",7660,13,90,85,34121140,70,2017-07-27
"444","Evil Dead","Sony Pictures",29085,-24,171,170,54239856,66,2013-06-09
"445","Evil Intent","",205,NA,1,205,205,2,2013-06-29
"446","Ex Machina","A24",132692,-6,896,148,22819329,49,2015-05-28
"447","Exists","Lionsgate",3650,NA,12,304,3650,1,2014-10-24
"448","Exodus: Gods and Kings","20th Century Fox",4555,9,66,69,64988138,70,2015-02-19
"449","Extremely Loud and Incredib…","Warner Bros.",3029,7,50,61,31847881,96,2012-03-29
"450","Eye in the Sky","Bleecker Street",1160,24,14,83,18704596,133,2016-07-21
"451","Faith of Our Fathers","Pure Flix / Samuel …",1055,-15,6,176,981982,33,2015-08-02
"452","Falcon Rising","Freestyle Releasing",735,34,10,74,11774,7,2014-09-11
"453","Fan","Yash Raj Films",333785,-39,280,1192,1357212,3,2016-04-17
"454","Fantastic Beasts and Where …","Warner Bros.",5725,35,88,65,234037575,133,2017-03-30
"455","Fantastic Four","20th Century Fox",6074,16,131,46,56051712,63,2015-10-08
"456","Far from the Madding Crowd","Fox Searchlight",9787,24,74,132,12140679,84,2015-07-23
"457","Far From the Tree","Sundance Selects",761,50,13,59,135800,41,2018-08-29
"458","Far Too Far","Time and Tide Produ…",581,315,5,116,15000,28,2015-04-30
"459","Fast and Furious 6","Universal",2055,NA,59,35,238679850,105,2013-09-05
"460","Father Figures","Warner Bros.",1879,-48,62,30,17501244,56,2018-02-15
"461","Fed Up","RADiUS-TWC",8977,-14,47,191,1355481,45,2014-06-22
"462","Fences","Paramount Pictures",10881,24,111,98,57682904,105,2017-03-30
"463","Ferdinand","20th Century Fox",3025,-24,85,36,84298014,126,2018-04-19
"464","Fifi Howls from Happiness","Music Box Films",1734,NA,2,867,13614,22,2014-08-29
"465","Fifty Shades Darker","Universal",13280,-7,189,70,114434010,49,2017-03-30
"466","Fifty Shades Freed","Universal",5685,-27,170,33,100407760,56,2018-04-05
"467","Fifty Shades of Black","Open Road",3091,53,40,77,11686940,56,2016-03-24
"468","Fifty Shades of Grey","Universal",4695,-11,117,40,166167230,84,2015-05-07
"469","Filly Brown","Lionsgate",5701,-1,29,197,2850357,42,2013-05-30
"470","Filmistan","UTV Communications",1365,-46,24,57,44307,10,2014-06-15
"471","Final Fantasy XV: Kingsglaive","Stage 6 Films",17034,9,26,655,222936,9,2016-08-27
"472","Final: The Rapture","Riverrain",1823,12,4,456,124561,171,2014-03-02
"473","Finding Dory","Walt Disney",611,1,34,18,486295561,175,2016-12-08
"474","Finding Nemo 3D","Walt Disney",38315,36,480,80,379951242,3430,2012-10-18
"475","Finding Your Feet","Roadside Attractions",349,-38,12,29,1418682,70,2018-06-07
"476","Fireworks","Fathom Events",562,-33,8,70,525280,17,2018-07-19
"477","First Reformed","A24",1641,-45,10,164,3448256,77,2018-08-02
"478","Fist Fight","Warner Bros.",8968,15,125,72,32187017,56,2017-04-13
"479","Fitoor","UTV Communications",520,-46,5,104,528799,17,2016-02-28
"480","Flatliners","Sony Pictures",3373,-31,33,102,16877430,52,2017-11-19
"481","Flight","Paramount Pictures",7413,54,100,74,93772375,105,2013-02-14
"482","Florence Foster Jenkins","Paramount Pictures",3802,36,33,115,27383770,77,2016-10-27
"483","Flower","The Orchard",200,-17,1,200,328188,73,2018-05-27
"484","Focus","Warner Bros.",4566,10,122,37,53862963,70,2015-05-07
"485","Footloose","Paramount Pictures",5974,16,131,46,51802742,91,2012-01-12
"486","For a Good Time, Call","Focus Features",2094,15,43,49,1251749,42,2012-10-11
"487","Forever My Girl","Roadside Attractions",140,-4,6,23,16376066,112,2018-05-10
"488","Forrest Gump","Paramount Pictures",30330,-37,337,90,330151138,7373,2014-09-11
"489","Fort McCoy","Monterey Media",2600,NA,2,1300,2600,1,2014-08-15
"490","Foxcatcher","Sony Pictures Classics",76000,NA,6,12667,76000,1,2014-11-14
"491","Frank","Magnolia Pictures",5500,NA,1,5500,5500,1,2014-08-15
"492","Frankenweenie","Walt Disney",804425,-23,1738,463,31798757,24,2012-10-28
"493","Frankie and Alice","CODEBLACK Films/Lio…",684,10,24,29,706547,1239,2014-05-01
"494","Free Angela & All Political…","CODEBLACK Films/Lio…",2697,NA,2,1349,129102,26,2013-04-30
"495","Free Birds","Relativity",632,7,32,20,55750480,140,2014-03-20
"496","Free Fire","A24",180,-19,6,30,1799322,28,2017-05-18
"497","Free State of Jones","STX Entertainment",10440,-12,145,72,20810036,35,2016-07-28
"498","Freeheld","Lionsgate",3543,-4,60,59,546201,42,2015-11-12
"499","Freetown","Purdie Distribution",104,30,1,104,397122,128,2015-08-13
"500","Friend Request","Entertainment Studi…",32,14,1,32,3759078,70,2017-11-30
"501","Friends with Kids","Roadside Attractions",118,-69,5,24,7251073,98,2012-06-14
"502","Frozen","Walt Disney",12943,-1,227,57,400227936,161,2014-05-01
"503","Fruitvale Station","Weinstein Co.",700,-56,20,35,16098998,112,2013-10-31
"504","Fun Size","Paramount Pictures",1722,10,80,22,9409538,49,2012-12-13
"505","Furious 7","Universal",51765,-12,357,145,351032910,77,2015-06-18
"506","Fury","Sony Pictures",46447,-37,232,200,85509098,80,2015-01-04
"507","G.I. Joe: Retaliation","Paramount Pictures",2923,14,41,71,122523060,114,2013-07-18
"508","Game Night","Warner Bros.",1003,-13,47,21,69001013,119,2018-06-21
"509","Game of Thrones: The IMAX E…","Warner Bros.",91455,-26,205,446,1896092,8,2015-02-05
"510","Gangster Squad","Warner Bros.",938,-3,50,19,46000903,84,2013-04-04
"511","Gayby","The Film Collaborat…",180,17,1,180,11558,21,2012-11-01
"512","Gemini","Neon",2603,-28,19,137,200340,24,2018-04-22
"513","Gemma Bovery","Music Box Films",5300,NA,5,1060,5300,1,2015-05-29
"514","Genius","Roadside Attractions",509,-50,5,102,1361045,70,2016-08-18
"515","Gentleman","Gaatri Media",16405,-10,24,684,872092,17,2016-07-03
"516","Gentleman: Sundar, Susheel,…","FIP",412,-44,17,24,410055,21,2017-09-14
"517","Geostorm","Warner Bros.",4388,-3,93,47,33700160,84,2018-01-11
"518","Get Hard","Warner Bros.",4098,19,48,85,90411453,105,2015-07-09
"519","Get on Up","Universal",12705,-9,253,50,30569935,49,2014-09-18
"520","Get Out","Universal",1855,-26,52,36,176040665,357,2018-02-15
"521","Getaway","Warner Bros.",1958,39,74,26,10501938,35,2013-10-03
"522","Getting Grace","Hannover House",288,-45,2,144,217812,67,2018-05-28
"523","Ghanchakkar","UTV Communications",4239,-21,30,141,203044,735454,2013-07-07
"524","Ghost in the Shell","Paramount Pictures",8191,19,124,66,40563557,56,2017-05-25
"525","Ghost in the Shell: The New…","FUNimation",841,-98,267,3,101203,3,2015-11-12
"526","Ghost Rider: Spirit of Veng…","Sony Pictures",17080,-61,95,180,51774002,80,2012-05-06
"527","Ghost Team","The Orchard",294,-11,10,29,5837,7,2016-08-18
"528","Ghost Team One","Film Arcade",956,-56,15,64,7345,3,2013-10-13
"529","Ghostbusters","Sony Pictures",2853,186,47,61,128350574,119,2016-11-10
"530","Ghostbusters (30th Annivers…","Sony Pictures",8773,-7,178,49,242212467,11060,2014-09-18
"531","Gifted","Fox Searchlight",2798,55,21,133,24768464,119,2017-08-03
"532","Gimme Shelter","Roadside Attractions",60,-29,5,12,1359910,35,2014-02-27
"533","Girl in Progress","Lionsgate",3813,NA,41,93,2609412,42,2012-06-21
"534","Girl Most Likely","Roadside Attractions",16,-84,2,8,1378591,56,2013-09-12
"535","Girl Rising","Gathr Films",143627,NA,69,2082,143627,1,2013-03-07
"536","Girls Against Boys","Anchor Bay Entertai…",261,-28,2,131,7529,7,2013-02-07
"537","Girls Trip","Universal",4450,-8,90,49,115108515,84,2017-10-12
"538","Gleason","Open Road",1787,-31,35,51,583664,35,2016-09-01
"539","Gloria","Roadside Attractions",287,-17,7,41,2107925,112,2014-05-15
"540","God’s Not Dead","Pure Flix Entertain…",469,-15,7,67,60755732,140,2014-08-07
"541","God’s Not Dead 2","Pure Flix Entertain…",554,-35,8,69,20773069,108,2016-07-17
"542","God’s Not Dead: A Light i…","Pure Flix Entertain…",138,60,5,28,5728940,77,2018-06-14
"543","Gods of Egypt","Lionsgate",3215,13,87,37,31153464,77,2016-05-12
"544","Godzilla","Warner Bros.",3786,5,70,54,200672193,104,2014-08-27
"545","Godzilla: The Japanese Orig…","Rialto Pictures",224,-91,4,56,482851,3672,2014-05-26
"546","Going in Style","Warner Bros.",3890,11,53,73,45018541,98,2017-07-13
"547","Gold","Weinstein Co.",1243,29,21,59,7227038,42,2017-03-09
"548","Gone","Lionsgate",7355,8,121,61,11682205,49,2012-04-12
"549","Gone Girl","20th Century Fox",830,5,25,33,167762331,140,2015-02-19
"550","Good Time","A24",2299,-10,6,383,2009484,63,2017-10-12
"551","Goodbye Christopher Robin","Fox Searchlight",2189,30,29,75,1699638,49,2017-11-30
"552","Goodland","Parade Deck Films",16765,NA,2,8383,16765,1,2018-05-11
"553","Goodnight Mommy","RADiUS-TWC",5603,-51,33,170,1137148,59,2015-11-08
"554","Goosebumps","Sony Pictures",13823,-6,433,32,78121323,56,2015-12-10
"555","Gotti","Vertical Entertainment",13894,32,100,139,4286367,26,2018-07-10
"556","Grace Jones: Bloodlight and…","Kino Lorber",77936,NA,3,25979,82378,7,2018-04-19
"557","Grace Unplugged","Roadside Attractions",24,-17,4,6,2507159,62,2013-12-04
"558","Grand départ","Rialto Pictures",120,45,1,120,459,4,2014-05-26
"559","Grandma","Sony Pictures Classics",1e+05,-6,804,124,5423711,41,2015-09-30
"560","Gravity","Warner Bros.",2109,10,65,32,274092705,217,2014-05-08
"561","Greater","Hammond Entertainment",1170,-26,1,1170,1994927,105,2016-12-08
"562","Green is Gold","Samuel Goldwyn Films",26,-75,1,26,455,7,2016-10-13
"563","Green Room","A24",3415,83,19,180,3200431,56,2016-06-09
"564","Gringo","STX Entertainment",1148,-7,33,35,4969853,28,2018-04-05
"565","Growing up Smith","Good Deed Entertain…",389,-74,12,32,35312,14,2017-02-16
"566","Grown Ups 2","Sony Pictures",13654,-49,91,150,133668525,129,2013-11-17
"567","Grudge Match","Warner Bros.",1153,26,45,26,29807260,79,2014-03-13
"568","Guardians of the Galaxy","Walt Disney",69793,-1,730,96,328095589,84,2014-10-23
"569","Guardians of the Galaxy Vol 2","Walt Disney",2599,12,80,32,389813101,140,2017-09-21
"570","Hacksaw Ridge","Lionsgate",26411,7,107,247,67209615,126,2017-03-09
"571","Hail, Caesar!","Universal",20110,-4,163,123,30080225,49,2016-03-24
"572","Hamari Adhuri Kahani","Fox International",9311,-32,42,222,235361,10,2015-06-21
"573","Hands of Stone","Weinstein Co.",216,-8,13,17,4712792,49,2016-10-13
"574","Hansel & Gretel: Witch Hunters","Paramount Pictures",5706,5,112,51,55703475,91,2013-04-25
"575","Happy Death Day","Universal",2840,1,88,32,55683845,63,2017-12-14
"576","Happy Feet Two","Warner Bros.",3332,10,85,39,64006466,112,2012-03-08
"577","Hardcore Henry","STX Entertainment",1583,-10,51,31,9252038,35,2016-05-12
"578","Hasee Toh Phasee","Reliance Entertainment",90738,-41,88,1031,336985,3,2014-02-09
"579","Hating Breitbart","Freestyle Releasing",750,-8,15,50,96728,217,2013-05-23
"580","Haute Cuisine","Weinstein Co.",1687,16,21,80,509759,42,2013-10-31
"581","Hayride 2","Freestyle Releasing",158,-33,10,16,2061,5,2015-03-10
"582","Haywire","Relativity",2226,25,69,32,18942396,63,2012-03-22
"583","Hazlo Como Hombre","Lionsgate",2554,-33,68,38,2534252,35,2017-10-05
"584","He Named Me Malala","Fox Searchlight",16582,30,33,502,2587248,49,2015-11-19
"585","Heaven is for Real","Sony Pictures",6922,-32,60,115,91136879,117,2014-08-10
"586","Heaven Knows What","RADiUS-TWC",56,33,2,28,80312,70,2015-08-06
"587","Hecho en México","Lionsgate",1003,-30,10,100,151133,21,2012-12-20
"588","Hector and the Search for H…","Relativity",153,-19,22,7,1124445,91,2014-12-18
"589","Hell & Back","Freestyle Releasing",132,-78,28,5,157768,14,2015-10-15
"590","Hell or High Water","Lionsgate",7757,-13,113,69,27007844,98,2016-11-17
"591","Hello Herman","Freestyle Releasing",737,38,15,49,8437,7,2013-06-13
"592","Hello, My Name is Doris","Roadside Attractions",45,-94,6,8,14444999,140,2016-07-28
"593","Her","Warner Bros.",3612,23,38,95,25568251,121,2014-04-17
"594","Hercules","Paramount Pictures",6962,12,124,56,72688614,84,2014-10-16
"595","Here Comes the Boom","Sony Pictures",16067,-2,96,167,45290318,130,2013-02-18
"596","Hereditary","A24",2162,7,23,94,44069456,84,2018-08-30
"597","Heroine","UTV Communications",1021,38,18,57,598668,21,2012-10-11
"598","Heropanti","UTV Communications",160,-34,1,160,63051,24,2014-06-15
"599","Hidden Figures","20th Century Fox",2264,23,29,78,169323813,159,2017-06-01
"600","High School","Anchor Bay Entertai…",708,10,4,177,139034,14,2012-06-14
"601","Highway","UTV Communications",12016,-27,97,124,395831,7,2014-02-27
"602","Hillary’s America: The Se…","Quality Flix",1209,29,38,32,13099931,91,2016-10-13
"603","Hillsong: Let Hope Rise","Pure Flix Entertain…",826,-20,7,118,2394386,38,2016-10-23
"604","Himmatwala","UTV Communications",81,56,1,81,270880,24,2013-04-21
"605","Hit & Run","Open Road",2490,-50,51,49,13746550,47,2012-10-07
"606","Hitchcock","Fox Searchlight",1374,22,13,106,6008677,112,2013-03-14
"607","Hitman: Agent 47","20th Century Fox",2859,8,72,40,22457659,49,2015-10-08
"608","Home","20th Century Fox",1837,-13,79,23,177352879,161,2015-09-03
"609","Home Again","Open Road",2566,31,63,41,27020284,63,2017-11-09
"610","Homefront","Open Road",12931,-44,53,244,20158492,37,2014-01-02
"611","Hope Springs","Sony Pictures",14824,-46,131,113,63536011,75,2012-10-21
"612","Horns","RADiUS-TWC",31100,NA,96,324,31100,1,2014-10-31
"613","Horrible Bosses 2","Warner Bros.",1304,17,44,30,54445357,86,2015-02-19
"614","Hostiles","Entertainment Studi…",245,NA,1,245,29819114,139,2018-05-09
"615","Hot Pursuit","Warner Bros.",4768,41,44,108,34580201,84,2015-07-30
"616","Hot Tub Time Machine 2","Paramount Pictures",6464,-23,105,62,12314651,35,2015-03-26
"617","Hotel Artemis","Global Road",4308,-7,60,72,6708137,42,2018-07-19
"618","Hotel Transylvania","Sony Pictures",32413,2,144,225,148313048,144,2013-02-18
"619","Hotel Transylvania 2","Sony Pictures",12317,-6,248,50,167430730,77,2015-12-10
"620","Hotel Transylvania 3: Summe…","Sony Pictures",244607,-16,1802,136,159901006,49,2018-08-30
"621","House at the End of the Street","Relativity",1242,14,41,30,31611916,91,2012-12-20
"622","How to Be a Latin Lover","Lionsgate",15387,2,119,129,32149404,56,2017-06-22
"623","How to be Single","Warner Bros.",7110,4,176,40,46843513,63,2016-04-14
"624","How to Talk to Girls at Par…","A24",709,-51,18,39,84809,28,2018-06-14
"625","How to Train Your Dragon 2","20th Century Fox",1012,14,74,14,176983845,175,2014-12-04
"626","Hugo","Paramount Pictures",9965,-12,101,99,73864507,142,2012-04-12
"627","Hunt for the Wilderpeople","The Orchard",704,33,15,47,5205471,133,2016-11-03
"628","Husbands in Goa","UTV Communications",600,NA,1,600,10135,37,2012-10-27
"629","Hyde Park on Hudson","Focus Features",2426,-2,20,121,6376145,112,2013-03-28
"630","I Am Ali","Focus Features",622,-27,11,57,6526,6,2014-10-15
"631","I Can Only Imagine","Roadside Attractions",1253,-5,21,60,83482352,119,2018-07-12
"632","I Feel Pretty","STX Entertainment",9918,-1,110,90,48795601,63,2018-06-21
"633","I Origins","Fox Searchlight",645,80,13,50,336472,35,2014-08-21
"634","I, Frankenstein","Lionsgate",4296,9,76,57,19075290,56,2014-03-20
"635","I, Tonya","Neon",3616,1,25,145,30006215,129,2018-04-15
"636","I'll See You in My Dreams","Bleecker Street",8570,43,54,159,7390798,100,2015-08-22
"637","I'm in Love with a Church Girl","High Top Releasing",4631,72,17,272,2387730,40,2013-11-26
"638","I’m Not Ashamed","Pure Flix Entertain…",146,-79,7,21,2082980,42,2016-12-01
"639","Ice Age: Collision Course","20th Century Fox",1169,9,67,17,64050015,98,2016-10-27
"640","Ice Age: Continental Drift","20th Century Fox",1196,-14,17,70,161321843,210,2013-02-07
"641","Ida","Music Box Films",24369,NA,15,1625,3680928,120,2014-08-29
"642","Identity Thief","Universal",13570,-4,150,90,134506920,119,2013-06-06
"643","If I Stay","Warner Bros.",3330,16,92,36,50474843,77,2014-11-06
"644","Immortals","Relativity",316,14,29,11,83504017,105,2012-02-23
"645","Implanted","Walking Shadows",40,-60,1,40,2210,7,2013-08-15
"646","In a Valley of Violence","Focus World",759,-12,12,63,53647,14,2016-11-03
"647","In a World...","Roadside Attractions",186,23,5,37,2963271,119,2013-12-05
"648","In Between","Film Movement",2153,-17,2,1077,11498,3,2018-01-07
"649","In Bloom","Big World Pictures",30,NA,1,30,51584,137,2014-05-26
"650","In Secret","Roadside Attractions",7236,15,266,27,444179,14,2014-03-06
"651","In the Heart of the Sea","Warner Bros.",9016,15,131,69,25020758,63,2016-02-11
"652","In The Land of Blood and Honey","FilmDistrict",655,-9,8,82,303877,77,2012-03-08
"653","In Time","20th Century Fox",2687,-49,20,134,37553932,108,2012-02-12
"654","InAPPropriate Comedy","Freestyle Releasing",15885,7,275,58,228004,7,2013-03-28
"655","Incarnate","High Top Releasing",2076,-2,27,77,4799774,28,2016-12-29
"656","Incredibles 2","Walt Disney",170245,-10,1060,161,597860913,77,2018-08-30
"657","Independence Day: Resurgence","20th Century Fox",8586,-21,391,22,103120535,77,2016-09-08
"658","Indignation","Roadside Attractions",155,-64,6,26,3401155,98,2016-11-03
"659","Inferno","Sony Pictures",1267,24,83,15,34343574,84,2017-01-19
"660","Infinitely Polar Bear","Sony Pictures Classics",11700,NA,5,2340,11700,1,2015-06-19
"661","Ingrid Bergman - In Her Own…","Rialto Pictures",45,-73,1,45,138148,341,2016-10-18
"662","Ingrid Goes West","Neon",414,148,4,104,3021133,73,2017-10-22
"663","Inherent Vice","Warner Bros.",5386,29,35,154,8110975,77,2015-02-26
"664","Inhumans","",5e+05,NA,393,1272,5e+05,1,2017-09-01
"665","Inni","Cinema Purgatorio",246,-76,1,246,123988,109,2012-01-13
"666","Inside Llewyn Davis","CBS Films",5033,-6,52,97,13235319,98,2014-03-13
"667","Inside Out","Walt Disney",239819,750,249,963,353852556,106,2015-10-02
"668","Insidious Chapter 2","FilmDistrict",3140,13,99,32,83586447,98,2013-12-19
"669","Insidious Chapter 3","Focus Features",4571,2,69,66,52218558,70,2015-08-13
"670","Insidious: The Last Key","Universal",5955,15,110,54,67347895,56,2018-03-01
"671","InSpectres","Reacter 88 Studios",32,NA,1,32,2207,13,2013-09-17
"672","Instructions Not Included","Lionsgate",2323,-15,46,51,44467206,105,2013-12-12
"673","Interstellar","Paramount Pictures",7555,2,77,98,188017894,135,2015-03-19
"674","Into the Storm","Warner Bros.",2093,11,55,38,47602194,105,2014-11-20
"675","Into the Woods","Walt Disney",13610,-1,197,69,126735659,64,2015-02-26
"676","Ip Man 3","Well Go USA",268267,NA,103,2605,268267,1,2016-01-22
