"","Var.1","Release.Date","Movie","Production.Budget","Domestic.Gross","Worldwide.Gross"
"7811",6,"9/14/2007","The Brave One","$70,000,000","$36,793,804","$69,792,704"
"7813",7,"11/1/2002","I Spy","$70,000,000","$33,561,137","$60,279,822"
"7815",8,"6/7/2002","Bad Company","$70,000,000","$30,157,016","$69,157,016"
"7817",9,"10/21/2005","Doom","$70,000,000","$28,212,337","$54,612,337"
"7819",10,"1/29/2016","The Finest Hours","$70,000,000","$27,569,558","$49,252,761"
"7821",11,"10/18/2013","Escape Plan","$70,000,000","$25,135,965","$103,735,965"
"7823",12,"9/23/2011","Killer Elite","$70,000,000","$25,124,986","$65,409,046"
"7825",13,"1/16/1998","Hard Rain","$70,000,000","$19,870,567","$19,870,567"
"7827",14,"2/15/2002","Hart's War","$70,000,000","$19,076,815","$33,076,815"
"7829",15,"2/8/2002","Rollerball","$70,000,000","$18,990,542","$25,852,508"
"7831",16,"1/10/2014","The Legend of Hercules","$70,000,000","$18,848,538","$58,953,319"
"7833",17,"4/27/2007","Next","$70,000,000","$18,211,013","$73,591,500"
"7835",18,"9/20/2002","Ballistic: Ecks vs. Sever","$70,000,000","$14,294,842","$14,294,842"
"7837",19,"8/10/2001","Osmosis Jones","$70,000,000","$13,596,911","$13,596,911"
"7839",20,"5/9/2014","Legends of Oz: Dorothy’s Return","$70,000,000","$8,462,347","$20,107,933"
"7841",21,"1/16/2015","Blackhat","$70,000,000","$8,005,980","$19,665,004"
"7843",22,"3/31/2006","Basic Instinct 2","$70,000,000","$5,946,136","$35,417,162"
"7845",23,"5/28/2010","Agora","$70,000,000","$619,423","$38,992,292"
"7847",24,"7/9/2010","Despicable Me","$69,000,000","$251,513,985","$543,464,573"
"7849",25,"7/30/2010","Dinner for Schmucks","$69,000,000","$73,026,337","$86,796,502"
"7851",26,"3/2/2018","Red Sparrow","$69,000,000","$46,874,505","$145,951,861"
"7853",27,"6/30/2010","The Twilight Saga: Eclipse","$68,000,000","$300,531,751","$706,102,828"
"7855",28,"5/31/2002","The Sum of All Fears","$68,000,000","$118,471,320","$193,500,000"
"7857",29,"6/26/2015","Ted 2","$68,000,000","$81,476,385","$217,214,143"
"7859",30,"7/13/2001","The Score","$68,000,000","$71,069,884","$113,542,091"
"7861",31,"2/25/2011","Hall Pass","$68,000,000","$45,060,734","$87,173,475"
