"","Var.1","Release.Date","Movie","Production.Budget","Domestic.Gross","Worldwide.Gross"
"1",1,"11/6/1998","The Siege","$70,000,000","$40,934,175","$116,625,798"
"3",2,"8/10/2007","Stardust","$70,000,000","$38,634,938","$137,022,245"
"5",3,"6/15/2012","Rock of Ages","$70,000,000","$38,518,613","$61,031,932"
"7",4,"10/8/1997","Seven Years in Tibet","$70,000,000","$37,945,884","$131,445,884"
"9",5,"9/17/2004","Sky Captain and the World of Tomorrow","$70,000,000","$37,760,080","$49,730,854"
"11",6,"9/14/2007","The Brave One","$70,000,000","$36,793,804","$69,792,704"
"13",7,"11/1/2002","I Spy","$70,000,000","$33,561,137","$60,279,822"
"15",8,"6/7/2002","Bad Company","$70,000,000","$30,157,016","$69,157,016"
"17",9,"10/21/2005","Doom","$70,000,000","$28,212,337","$54,612,337"
"19",10,"1/29/2016","The Finest Hours","$70,000,000","$27,569,558","$49,252,761"
"21",11,"10/18/2013","Escape Plan","$70,000,000","$25,135,965","$103,735,965"
"23",12,"9/23/2011","Killer Elite","$70,000,000","$25,124,986","$65,409,046"
"25",13,"1/16/1998","Hard Rain","$70,000,000","$19,870,567","$19,870,567"
"27",14,"2/15/2002","Hart's War","$70,000,000","$19,076,815","$33,076,815"
"29",15,"2/8/2002","Rollerball","$70,000,000","$18,990,542","$25,852,508"
"31",16,"1/10/2014","The Legend of Hercules","$70,000,000","$18,848,538","$58,953,319"
"33",17,"4/27/2007","Next","$70,000,000","$18,211,013","$73,591,500"
"35",18,"9/20/2002","Ballistic: Ecks vs. Sever","$70,000,000","$14,294,842","$14,294,842"
"37",19,"8/10/2001","Osmosis Jones","$70,000,000","$13,596,911","$13,596,911"
"39",20,"5/9/2014","Legends of Oz: Dorothy’s Return","$70,000,000","$8,462,347","$20,107,933"
"41",21,"1/16/2015","Blackhat","$70,000,000","$8,005,980","$19,665,004"
"43",22,"3/31/2006","Basic Instinct 2","$70,000,000","$5,946,136","$35,417,162"
"45",23,"5/28/2010","Agora","$70,000,000","$619,423","$38,992,292"
"47",24,"7/9/2010","Despicable Me","$69,000,000","$251,513,985","$543,464,573"
"49",25,"7/30/2010","Dinner for Schmucks","$69,000,000","$73,026,337","$86,796,502"
"51",26,"3/2/2018","Red Sparrow","$69,000,000","$46,874,505","$145,951,861"
"53",27,"6/30/2010","The Twilight Saga: Eclipse","$68,000,000","$300,531,751","$706,102,828"
"55",28,"5/31/2002","The Sum of All Fears","$68,000,000","$118,471,320","$193,500,000"
"57",29,"6/26/2015","Ted 2","$68,000,000","$81,476,385","$217,214,143"
"59",30,"7/13/2001","The Score","$68,000,000","$71,069,884","$113,542,091"
"61",31,"2/25/2011","Hall Pass","$68,000,000","$45,060,734","$87,173,475"
"63",32,"11/22/1995","Money Train","$68,000,000","$35,324,232","$77,224,232"
"65",33,"3/21/2003","Dreamcatcher","$68,000,000","$33,685,268","$75,685,268"
"67",34,"8/6/1999","Mystery Men","$68,000,000","$29,762,011","$33,462,011"
"69",35,"11/5/1999","The Insider","$68,000,000","$28,965,197","$60,265,197"
"71",36,"12/22/2017","Downsizing","$68,000,000","$24,449,754","$48,681,134"
"73",37,"3/2/2012","Doctor Seuss' The Lorax","$67,500,000","$214,030,500","$350,976,753"
"75",38,"10/10/2008","Body of Lies","$67,500,000","$39,394,666","$118,556,530"
"77",39,"6/22/2012","Abraham Lincoln: Vampire Hunter","$67,500,000","$37,519,139","$137,489,730"
"79",40,"9/20/1996","Last Man Standing","$67,000,000","$18,115,927","$18,115,927"
"81",41,"8/17/2007","The Last Legion","$67,000,000","$5,932,060","$25,357,771"
"83",42,"4/30/1999","Entrapment","$66,000,000","$87,707,396","$211,700,000"
"85",43,"6/19/1998","The X Files: Fight the Future","$66,000,000","$83,898,313","$189,176,423"
"87",44,"3/14/2014","Need for Speed","$66,000,000","$43,568,507","$194,169,619"
"89",45,"7/24/1998","Saving Private Ryan","$65,000,000","$216,335,085","$485,035,085"
"91",46,"12/15/2000","What Women Want","$65,000,000","$182,805,123","$374,105,123"
"93",47,"11/9/2012","Lincoln","$65,000,000","$182,207,973","$273,346,281"
"95",48,"3/15/2002","Ice Age","$65,000,000","$176,387,405","$386,116,343"
"97",49,"6/30/1995","Apollo 13","$65,000,000","$173,772,767","$335,802,271"
"99",50,"3/31/1999","The Matrix","$65,000,000","$171,479,930","$463,517,383"
"101",51,"7/13/2018","Hotel Transylvania 3: Summer Vacation","$65,000,000","$167,321,691","$522,246,749"
"103",52,"12/25/2012","Les Miserables","$65,000,000","$148,809,770","$442,169,052"
"105",53,"11/1/2002","The Santa Clause 2","$65,000,000","$139,225,854","$172,825,854"
"107",54,"6/1/1990","Total Recall","$65,000,000","$119,394,839","$261,400,000"
"109",55,"12/18/1998","You've Got Mail","$65,000,000","$115,821,495","$250,800,000"
"111",56,"12/25/2014","Unbroken","$65,000,000","$115,637,895","$163,527,824"
"113",57,"6/5/2015","Spy!","$65,000,000","$110,825,712","$233,121,406"
"115",58,"11/5/2010","Due Date","$65,000,000","$100,539,043","$211,739,043"
"117",59,"7/25/2008","Step Brothers","$65,000,000","$100,468,793","$128,468,793"
"119",60,"12/15/1995","Jumanji","$65,000,000","$100,458,310","$262,758,310"
"121",61,"7/17/1998","The Mask of Zorro","$65,000,000","$93,828,745","$233,700,000"
"123",62,"8/4/2000","Space Cowboys","$65,000,000","$90,454,043","$128,874,043"
"125",63,"12/19/2014","Annie","$65,000,000","$85,911,262","$139,840,525"
"127",64,"5/28/1993","Cliffhanger","$65,000,000","$84,049,211","$255,000,000"
"129",65,"8/12/2016","Pete’s Dragon","$65,000,000","$76,233,151","$137,768,975"
"131",66,"2/9/1996","Broken Arrow","$65,000,000","$70,645,997","$148,345,997"
"133",67,"8/9/2006","World Trade Center","$65,000,000","$70,278,893","$163,295,654"
"135",68,"7/7/2000","The Kid","$65,000,000","$69,688,384","$69,688,384"
"137",69,"12/19/2003","Mona Lisa Smile","$65,000,000","$63,803,100","$141,205,169"
"139",70,"5/16/2012","The Dictator","$65,000,000","$59,650,222","$180,148,897"
"141",71,"7/16/1999","Eyes Wide Shut","$65,000,000","$55,691,208","$104,267,443"
"143",72,"2/17/2012","This Means War","$65,000,000","$54,760,791","$156,974,557"
"145",73,"2/27/2015","Focus","$65,000,000","$53,862,963","$159,062,963"
"147",74,"12/8/2004","Blade: Trinity","$65,000,000","$52,397,389","$131,353,165"
"149",75,"11/21/2012","Red Dawn","$65,000,000","$44,806,783","$48,164,150"
"151",76,"12/22/2006","We Are Marshall","$65,000,000","$43,545,364","$43,545,364"
"153",77,"9/18/2015","Everest","$65,000,000","$43,482,270","$221,835,496"
"155",78,"9/14/2012","Resident Evil: Retribution","$65,000,000","$42,345,531","$238,940,997"
"157",79,"3/20/1998","Primary Colors","$65,000,000","$39,017,984","$39,017,984"
"159",80,"10/15/1999","Fight Club","$65,000,000","$37,030,102","$100,851,705"
"161",81,"8/22/2008","Death Race","$65,000,000","$36,316,032","$72,516,819"
"163",82,"10/11/1996","The Long Kiss Goodnight","$65,000,000","$33,447,612","$33,447,612"
"165",83,"12/8/2000","Proof of Life","$65,000,000","$32,598,931","$62,761,005"
"167",84,"11/11/2005","Zathura","$65,000,000","$28,045,540","$58,545,540"
"169",85,"11/26/2003","The Missing","$65,000,000","$26,900,336","$38,253,433"
"171",86,"1/14/2005","Elektra","$65,000,000","$24,409,722","$56,824,633"
"173",87,"10/23/2009","Astro Boy","$65,000,000","$19,551,067","$41,636,243"
"175",88,"1/24/2014","I, Frankenstein","$65,000,000","$19,075,290","$74,575,290"
"177",89,"5/24/1991","Hudson Hawk","$65,000,000","$17,218,916","$17,218,916"
"179",90,"8/22/2014","Sin City: A Dame to Kill For","$65,000,000","$13,757,804","$40,650,842"
"181",91,"12/25/2016","Live by Night","$65,000,000","$10,378,555","$21,778,555"
"183",92,"10/27/2000","Lucky Numbers","$65,000,000","$10,014,234","$10,014,234"
"185",93,"9/23/2005","Oliver Twist","$65,000,000","$2,070,920","$26,670,920"
"187",94,"9/4/2015","Tian jiang xiong shi","$65,000,000","$74,070","$122,519,874"
"189",95,"10/26/2018","Air Strike","$65,000,000","$0","$0"
"191",96,"7/14/2006","Little Man","$64,000,000","$58,636,047","$101,636,047"
"193",97,"10/8/1999","Random Hearts","$64,000,000","$31,054,924","$63,200,000"
"195",98,"12/27/2006","Perfume: The Story of a Murderer","$63,700,000","$2,223,293","$133,603,463"
"197",99,"6/11/1993","Jurassic Park","$63,000,000","$395,708,305","$1,038,812,584"
"199",100,"7/25/2002","Austin Powers in Goldmember","$63,000,000","$213,117,789","$296,338,663"
"201",1,"11/6/1998","The Siege","$70,000,000","$40,934,175","$116,625,798"
"203",2,"8/10/2007","Stardust","$70,000,000","$38,634,938","$137,022,245"
"205",3,"6/15/2012","Rock of Ages","$70,000,000","$38,518,613","$61,031,932"
"207",4,"10/8/1997","Seven Years in Tibet","$70,000,000","$37,945,884","$131,445,884"
"209",5,"9/17/2004","Sky Captain and the World of Tomorrow","$70,000,000","$37,760,080","$49,730,854"
"211",6,"9/14/2007","The Brave One","$70,000,000","$36,793,804","$69,792,704"
"213",7,"11/1/2002","I Spy","$70,000,000","$33,561,137","$60,279,822"
"215",8,"6/7/2002","Bad Company","$70,000,000","$30,157,016","$69,157,016"
"217",9,"10/21/2005","Doom","$70,000,000","$28,212,337","$54,612,337"
"219",10,"1/29/2016","The Finest Hours","$70,000,000","$27,569,558","$49,252,761"
"221",11,"10/18/2013","Escape Plan","$70,000,000","$25,135,965","$103,735,965"
"223",12,"9/23/2011","Killer Elite","$70,000,000","$25,124,986","$65,409,046"
"225",13,"1/16/1998","Hard Rain","$70,000,000","$19,870,567","$19,870,567"
"227",14,"2/15/2002","Hart's War","$70,000,000","$19,076,815","$33,076,815"
"229",15,"2/8/2002","Rollerball","$70,000,000","$18,990,542","$25,852,508"
"231",16,"1/10/2014","The Legend of Hercules","$70,000,000","$18,848,538","$58,953,319"
"233",17,"4/27/2007","Next","$70,000,000","$18,211,013","$73,591,500"
"235",18,"9/20/2002","Ballistic: Ecks vs. Sever","$70,000,000","$14,294,842","$14,294,842"
"237",19,"8/10/2001","Osmosis Jones","$70,000,000","$13,596,911","$13,596,911"
"239",20,"5/9/2014","Legends of Oz: Dorothy’s Return","$70,000,000","$8,462,347","$20,107,933"
"241",21,"1/16/2015","Blackhat","$70,000,000","$8,005,980","$19,665,004"
"243",22,"3/31/2006","Basic Instinct 2","$70,000,000","$5,946,136","$35,417,162"
"245",23,"5/28/2010","Agora","$70,000,000","$619,423","$38,992,292"
"247",24,"7/9/2010","Despicable Me","$69,000,000","$251,513,985","$543,464,573"
"249",25,"7/30/2010","Dinner for Schmucks","$69,000,000","$73,026,337","$86,796,502"
"251",26,"3/2/2018","Red Sparrow","$69,000,000","$46,874,505","$145,951,861"
"253",27,"6/30/2010","The Twilight Saga: Eclipse","$68,000,000","$300,531,751","$706,102,828"
"255",28,"5/31/2002","The Sum of All Fears","$68,000,000","$118,471,320","$193,500,000"
"257",29,"6/26/2015","Ted 2","$68,000,000","$81,476,385","$217,214,143"
"259",30,"7/13/2001","The Score","$68,000,000","$71,069,884","$113,542,091"
"261",31,"2/25/2011","Hall Pass","$68,000,000","$45,060,734","$87,173,475"
"263",32,"11/22/1995","Money Train","$68,000,000","$35,324,232","$77,224,232"
"265",33,"3/21/2003","Dreamcatcher","$68,000,000","$33,685,268","$75,685,268"
"267",34,"8/6/1999","Mystery Men","$68,000,000","$29,762,011","$33,462,011"
"269",35,"11/5/1999","The Insider","$68,000,000","$28,965,197","$60,265,197"
"271",36,"12/22/2017","Downsizing","$68,000,000","$24,449,754","$48,681,134"
"273",37,"3/2/2012","Doctor Seuss' The Lorax","$67,500,000","$214,030,500","$350,976,753"
"275",38,"10/10/2008","Body of Lies","$67,500,000","$39,394,666","$118,556,530"
"277",39,"6/22/2012","Abraham Lincoln: Vampire Hunter","$67,500,000","$37,519,139","$137,489,730"
"279",40,"9/20/1996","Last Man Standing","$67,000,000","$18,115,927","$18,115,927"
"281",41,"8/17/2007","The Last Legion","$67,000,000","$5,932,060","$25,357,771"
"283",42,"4/30/1999","Entrapment","$66,000,000","$87,707,396","$211,700,000"
"285",43,"6/19/1998","The X Files: Fight the Future","$66,000,000","$83,898,313","$189,176,423"
"287",44,"3/14/2014","Need for Speed","$66,000,000","$43,568,507","$194,169,619"
"289",45,"7/24/1998","Saving Private Ryan","$65,000,000","$216,335,085","$485,035,085"
"291",46,"12/15/2000","What Women Want","$65,000,000","$182,805,123","$374,105,123"
"293",47,"11/9/2012","Lincoln","$65,000,000","$182,207,973","$273,346,281"
"295",48,"3/15/2002","Ice Age","$65,000,000","$176,387,405","$386,116,343"
"297",49,"6/30/1995","Apollo 13","$65,000,000","$173,772,767","$335,802,271"
"299",50,"3/31/1999","The Matrix","$65,000,000","$171,479,930","$463,517,383"
"301",51,"7/13/2018","Hotel Transylvania 3: Summer Vacation","$65,000,000","$167,321,691","$522,246,749"
"303",52,"12/25/2012","Les Miserables","$65,000,000","$148,809,770","$442,169,052"
"305",53,"11/1/2002","The Santa Clause 2","$65,000,000","$139,225,854","$172,825,854"
"307",54,"6/1/1990","Total Recall","$65,000,000","$119,394,839","$261,400,000"
"309",55,"12/18/1998","You've Got Mail","$65,000,000","$115,821,495","$250,800,000"
"311",56,"12/25/2014","Unbroken","$65,000,000","$115,637,895","$163,527,824"
"313",57,"6/5/2015","Spy!","$65,000,000","$110,825,712","$233,121,406"
"315",58,"11/5/2010","Due Date","$65,000,000","$100,539,043","$211,739,043"
"317",59,"7/25/2008","Step Brothers","$65,000,000","$100,468,793","$128,468,793"
"319",60,"12/15/1995","Jumanji","$65,000,000","$100,458,310","$262,758,310"
"321",61,"7/17/1998","The Mask of Zorro","$65,000,000","$93,828,745","$233,700,000"
"323",62,"8/4/2000","Space Cowboys","$65,000,000","$90,454,043","$128,874,043"
"325",63,"12/19/2014","Annie","$65,000,000","$85,911,262","$139,840,525"
"327",64,"5/28/1993","Cliffhanger","$65,000,000","$84,049,211","$255,000,000"
"329",65,"8/12/2016","Pete’s Dragon","$65,000,000","$76,233,151","$137,768,975"
"331",66,"2/9/1996","Broken Arrow","$65,000,000","$70,645,997","$148,345,997"
"333",67,"8/9/2006","World Trade Center","$65,000,000","$70,278,893","$163,295,654"
"335",68,"7/7/2000","The Kid","$65,000,000","$69,688,384","$69,688,384"
"337",69,"12/19/2003","Mona Lisa Smile","$65,000,000","$63,803,100","$141,205,169"
"339",70,"5/16/2012","The Dictator","$65,000,000","$59,650,222","$180,148,897"
"341",71,"7/16/1999","Eyes Wide Shut","$65,000,000","$55,691,208","$104,267,443"
"343",72,"2/17/2012","This Means War","$65,000,000","$54,760,791","$156,974,557"
"345",73,"2/27/2015","Focus","$65,000,000","$53,862,963","$159,062,963"
"347",74,"12/8/2004","Blade: Trinity","$65,000,000","$52,397,389","$131,353,165"
"349",75,"11/21/2012","Red Dawn","$65,000,000","$44,806,783","$48,164,150"
"351",76,"12/22/2006","We Are Marshall","$65,000,000","$43,545,364","$43,545,364"
"353",77,"9/18/2015","Everest","$65,000,000","$43,482,270","$221,835,496"
"355",78,"9/14/2012","Resident Evil: Retribution","$65,000,000","$42,345,531","$238,940,997"
"357",79,"3/20/1998","Primary Colors","$65,000,000","$39,017,984","$39,017,984"
"359",80,"10/15/1999","Fight Club","$65,000,000","$37,030,102","$100,851,705"
"361",81,"8/22/2008","Death Race","$65,000,000","$36,316,032","$72,516,819"
"363",82,"10/11/1996","The Long Kiss Goodnight","$65,000,000","$33,447,612","$33,447,612"
"365",83,"12/8/2000","Proof of Life","$65,000,000","$32,598,931","$62,761,005"
"367",84,"11/11/2005","Zathura","$65,000,000","$28,045,540","$58,545,540"
"369",85,"11/26/2003","The Missing","$65,000,000","$26,900,336","$38,253,433"
"371",86,"1/14/2005","Elektra","$65,000,000","$24,409,722","$56,824,633"
"373",87,"10/23/2009","Astro Boy","$65,000,000","$19,551,067","$41,636,243"
"375",88,"1/24/2014","I, Frankenstein","$65,000,000","$19,075,290","$74,575,290"
"377",89,"5/24/1991","Hudson Hawk","$65,000,000","$17,218,916","$17,218,916"
"379",90,"8/22/2014","Sin City: A Dame to Kill For","$65,000,000","$13,757,804","$40,650,842"
"381",91,"12/25/2016","Live by Night","$65,000,000","$10,378,555","$21,778,555"
"383",92,"10/27/2000","Lucky Numbers","$65,000,000","$10,014,234","$10,014,234"
"385",93,"9/23/2005","Oliver Twist","$65,000,000","$2,070,920","$26,670,920"
"387",94,"9/4/2015","Tian jiang xiong shi","$65,000,000","$74,070","$122,519,874"
"389",95,"10/26/2018","Air Strike","$65,000,000","$0","$0"
"391",96,"7/14/2006","Little Man","$64,000,000","$58,636,047","$101,636,047"
"393",97,"10/8/1999","Random Hearts","$64,000,000","$31,054,924","$63,200,000"
"395",98,"12/27/2006","Perfume: The Story of a Murderer","$63,700,000","$2,223,293","$133,603,463"
"397",99,"6/11/1993","Jurassic Park","$63,000,000","$395,708,305","$1,038,812,584"
"399",100,"7/25/2002","Austin Powers in Goldmember","$63,000,000","$213,117,789","$296,338,663"
"401",1,"11/6/1998","The Siege","$70,000,000","$40,934,175","$116,625,798"
"403",2,"8/10/2007","Stardust","$70,000,000","$38,634,938","$137,022,245"
"405",3,"6/15/2012","Rock of Ages","$70,000,000","$38,518,613","$61,031,932"
"407",4,"10/8/1997","Seven Years in Tibet","$70,000,000","$37,945,884","$131,445,884"
"409",5,"9/17/2004","Sky Captain and the World of Tomorrow","$70,000,000","$37,760,080","$49,730,854"
"411",6,"9/14/2007","The Brave One","$70,000,000","$36,793,804","$69,792,704"
"413",7,"11/1/2002","I Spy","$70,000,000","$33,561,137","$60,279,822"
"415",8,"6/7/2002","Bad Company","$70,000,000","$30,157,016","$69,157,016"
"417",9,"10/21/2005","Doom","$70,000,000","$28,212,337","$54,612,337"
"419",10,"1/29/2016","The Finest Hours","$70,000,000","$27,569,558","$49,252,761"
"421",11,"10/18/2013","Escape Plan","$70,000,000","$25,135,965","$103,735,965"
"423",12,"9/23/2011","Killer Elite","$70,000,000","$25,124,986","$65,409,046"
"425",13,"1/16/1998","Hard Rain","$70,000,000","$19,870,567","$19,870,567"
"427",14,"2/15/2002","Hart's War","$70,000,000","$19,076,815","$33,076,815"
"429",15,"2/8/2002","Rollerball","$70,000,000","$18,990,542","$25,852,508"
"431",16,"1/10/2014","The Legend of Hercules","$70,000,000","$18,848,538","$58,953,319"
"433",17,"4/27/2007","Next","$70,000,000","$18,211,013","$73,591,500"
"435",18,"9/20/2002","Ballistic: Ecks vs. Sever","$70,000,000","$14,294,842","$14,294,842"
"437",19,"8/10/2001","Osmosis Jones","$70,000,000","$13,596,911","$13,596,911"
"439",20,"5/9/2014","Legends of Oz: Dorothy’s Return","$70,000,000","$8,462,347","$20,107,933"
"441",21,"1/16/2015","Blackhat","$70,000,000","$8,005,980","$19,665,004"
"443",22,"3/31/2006","Basic Instinct 2","$70,000,000","$5,946,136","$35,417,162"
"445",23,"5/28/2010","Agora","$70,000,000","$619,423","$38,992,292"
"447",24,"7/9/2010","Despicable Me","$69,000,000","$251,513,985","$543,464,573"
"449",25,"7/30/2010","Dinner for Schmucks","$69,000,000","$73,026,337","$86,796,502"
"451",26,"3/2/2018","Red Sparrow","$69,000,000","$46,874,505","$145,951,861"
"453",27,"6/30/2010","The Twilight Saga: Eclipse","$68,000,000","$300,531,751","$706,102,828"
"455",28,"5/31/2002","The Sum of All Fears","$68,000,000","$118,471,320","$193,500,000"
"457",29,"6/26/2015","Ted 2","$68,000,000","$81,476,385","$217,214,143"
"459",30,"7/13/2001","The Score","$68,000,000","$71,069,884","$113,542,091"
"461",31,"2/25/2011","Hall Pass","$68,000,000","$45,060,734","$87,173,475"
"463",32,"11/22/1995","Money Train","$68,000,000","$35,324,232","$77,224,232"
"465",33,"3/21/2003","Dreamcatcher","$68,000,000","$33,685,268","$75,685,268"
"467",34,"8/6/1999","Mystery Men","$68,000,000","$29,762,011","$33,462,011"
"469",35,"11/5/1999","The Insider","$68,000,000","$28,965,197","$60,265,197"
"471",36,"12/22/2017","Downsizing","$68,000,000","$24,449,754","$48,681,134"
"473",37,"3/2/2012","Doctor Seuss' The Lorax","$67,500,000","$214,030,500","$350,976,753"
"475",38,"10/10/2008","Body of Lies","$67,500,000","$39,394,666","$118,556,530"
"477",39,"6/22/2012","Abraham Lincoln: Vampire Hunter","$67,500,000","$37,519,139","$137,489,730"
"479",40,"9/20/1996","Last Man Standing","$67,000,000","$18,115,927","$18,115,927"
"481",41,"8/17/2007","The Last Legion","$67,000,000","$5,932,060","$25,357,771"
"483",42,"4/30/1999","Entrapment","$66,000,000","$87,707,396","$211,700,000"
"485",43,"6/19/1998","The X Files: Fight the Future","$66,000,000","$83,898,313","$189,176,423"
"487",44,"3/14/2014","Need for Speed","$66,000,000","$43,568,507","$194,169,619"
"489",45,"7/24/1998","Saving Private Ryan","$65,000,000","$216,335,085","$485,035,085"
"491",46,"12/15/2000","What Women Want","$65,000,000","$182,805,123","$374,105,123"
"493",47,"11/9/2012","Lincoln","$65,000,000","$182,207,973","$273,346,281"
"495",48,"3/15/2002","Ice Age","$65,000,000","$176,387,405","$386,116,343"
"497",49,"6/30/1995","Apollo 13","$65,000,000","$173,772,767","$335,802,271"
"499",50,"3/31/1999","The Matrix","$65,000,000","$171,479,930","$463,517,383"
"501",51,"7/13/2018","Hotel Transylvania 3: Summer Vacation","$65,000,000","$167,321,691","$522,246,749"
"503",52,"12/25/2012","Les Miserables","$65,000,000","$148,809,770","$442,169,052"
"505",53,"11/1/2002","The Santa Clause 2","$65,000,000","$139,225,854","$172,825,854"
"507",54,"6/1/1990","Total Recall","$65,000,000","$119,394,839","$261,400,000"
"509",55,"12/18/1998","You've Got Mail","$65,000,000","$115,821,495","$250,800,000"
"511",56,"12/25/2014","Unbroken","$65,000,000","$115,637,895","$163,527,824"
"513",57,"6/5/2015","Spy!","$65,000,000","$110,825,712","$233,121,406"
"515",58,"11/5/2010","Due Date","$65,000,000","$100,539,043","$211,739,043"
"517",59,"7/25/2008","Step Brothers","$65,000,000","$100,468,793","$128,468,793"
"519",60,"12/15/1995","Jumanji","$65,000,000","$100,458,310","$262,758,310"
"521",61,"7/17/1998","The Mask of Zorro","$65,000,000","$93,828,745","$233,700,000"
"523",62,"8/4/2000","Space Cowboys","$65,000,000","$90,454,043","$128,874,043"
"525",63,"12/19/2014","Annie","$65,000,000","$85,911,262","$139,840,525"
"527",64,"5/28/1993","Cliffhanger","$65,000,000","$84,049,211","$255,000,000"
"529",65,"8/12/2016","Pete’s Dragon","$65,000,000","$76,233,151","$137,768,975"
"531",66,"2/9/1996","Broken Arrow","$65,000,000","$70,645,997","$148,345,997"
"533",67,"8/9/2006","World Trade Center","$65,000,000","$70,278,893","$163,295,654"
"535",68,"7/7/2000","The Kid","$65,000,000","$69,688,384","$69,688,384"
"537",69,"12/19/2003","Mona Lisa Smile","$65,000,000","$63,803,100","$141,205,169"
"539",70,"5/16/2012","The Dictator","$65,000,000","$59,650,222","$180,148,897"
"541",71,"7/16/1999","Eyes Wide Shut","$65,000,000","$55,691,208","$104,267,443"
"543",72,"2/17/2012","This Means War","$65,000,000","$54,760,791","$156,974,557"
"545",73,"2/27/2015","Focus","$65,000,000","$53,862,963","$159,062,963"
"547",74,"12/8/2004","Blade: Trinity","$65,000,000","$52,397,389","$131,353,165"
"549",75,"11/21/2012","Red Dawn","$65,000,000","$44,806,783","$48,164,150"
"551",76,"12/22/2006","We Are Marshall","$65,000,000","$43,545,364","$43,545,364"
"553",77,"9/18/2015","Everest","$65,000,000","$43,482,270","$221,835,496"
"555",78,"9/14/2012","Resident Evil: Retribution","$65,000,000","$42,345,531","$238,940,997"
"557",79,"3/20/1998","Primary Colors","$65,000,000","$39,017,984","$39,017,984"
"559",80,"10/15/1999","Fight Club","$65,000,000","$37,030,102","$100,851,705"
"561",81,"8/22/2008","Death Race","$65,000,000","$36,316,032","$72,516,819"
"563",82,"10/11/1996","The Long Kiss Goodnight","$65,000,000","$33,447,612","$33,447,612"
"565",83,"12/8/2000","Proof of Life","$65,000,000","$32,598,931","$62,761,005"
"567",84,"11/11/2005","Zathura","$65,000,000","$28,045,540","$58,545,540"
"569",85,"11/26/2003","The Missing","$65,000,000","$26,900,336","$38,253,433"
"571",86,"1/14/2005","Elektra","$65,000,000","$24,409,722","$56,824,633"
"573",87,"10/23/2009","Astro Boy","$65,000,000","$19,551,067","$41,636,243"
"575",88,"1/24/2014","I, Frankenstein","$65,000,000","$19,075,290","$74,575,290"
"577",89,"5/24/1991","Hudson Hawk","$65,000,000","$17,218,916","$17,218,916"
"579",90,"8/22/2014","Sin City: A Dame to Kill For","$65,000,000","$13,757,804","$40,650,842"
"581",91,"12/25/2016","Live by Night","$65,000,000","$10,378,555","$21,778,555"
"583",92,"10/27/2000","Lucky Numbers","$65,000,000","$10,014,234","$10,014,234"
"585",93,"9/23/2005","Oliver Twist","$65,000,000","$2,070,920","$26,670,920"
"587",94,"9/4/2015","Tian jiang xiong shi","$65,000,000","$74,070","$122,519,874"
"589",95,"10/26/2018","Air Strike","$65,000,000","$0","$0"
"591",96,"7/14/2006","Little Man","$64,000,000","$58,636,047","$101,636,047"
"593",97,"10/8/1999","Random Hearts","$64,000,000","$31,054,924","$63,200,000"
"595",98,"12/27/2006","Perfume: The Story of a Murderer","$63,700,000","$2,223,293","$133,603,463"
"597",99,"6/11/1993","Jurassic Park","$63,000,000","$395,708,305","$1,038,812,584"
"599",100,"7/25/2002","Austin Powers in Goldmember","$63,000,000","$213,117,789","$296,338,663"
"601",1,"11/6/1998","The Siege","$70,000,000","$40,934,175","$116,625,798"
"603",2,"8/10/2007","Stardust","$70,000,000","$38,634,938","$137,022,245"
"605",3,"6/15/2012","Rock of Ages","$70,000,000","$38,518,613","$61,031,932"
"607",4,"10/8/1997","Seven Years in Tibet","$70,000,000","$37,945,884","$131,445,884"
"609",5,"9/17/2004","Sky Captain and the World of Tomorrow","$70,000,000","$37,760,080","$49,730,854"
"611",6,"9/14/2007","The Brave One","$70,000,000","$36,793,804","$69,792,704"
"613",7,"11/1/2002","I Spy","$70,000,000","$33,561,137","$60,279,822"
"615",8,"6/7/2002","Bad Company","$70,000,000","$30,157,016","$69,157,016"
"617",9,"10/21/2005","Doom","$70,000,000","$28,212,337","$54,612,337"
"619",10,"1/29/2016","The Finest Hours","$70,000,000","$27,569,558","$49,252,761"
"621",11,"10/18/2013","Escape Plan","$70,000,000","$25,135,965","$103,735,965"
"623",12,"9/23/2011","Killer Elite","$70,000,000","$25,124,986","$65,409,046"
"625",13,"1/16/1998","Hard Rain","$70,000,000","$19,870,567","$19,870,567"
"627",14,"2/15/2002","Hart's War","$70,000,000","$19,076,815","$33,076,815"
"629",15,"2/8/2002","Rollerball","$70,000,000","$18,990,542","$25,852,508"
"631",16,"1/10/2014","The Legend of Hercules","$70,000,000","$18,848,538","$58,953,319"
"633",17,"4/27/2007","Next","$70,000,000","$18,211,013","$73,591,500"
"635",18,"9/20/2002","Ballistic: Ecks vs. Sever","$70,000,000","$14,294,842","$14,294,842"
"637",19,"8/10/2001","Osmosis Jones","$70,000,000","$13,596,911","$13,596,911"
"639",20,"5/9/2014","Legends of Oz: Dorothy’s Return","$70,000,000","$8,462,347","$20,107,933"
"641",21,"1/16/2015","Blackhat","$70,000,000","$8,005,980","$19,665,004"
"643",22,"3/31/2006","Basic Instinct 2","$70,000,000","$5,946,136","$35,417,162"
"645",23,"5/28/2010","Agora","$70,000,000","$619,423","$38,992,292"
"647",24,"7/9/2010","Despicable Me","$69,000,000","$251,513,985","$543,464,573"
